Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Keywords - (GCMD) Global Change Master Directory,,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,"Global Change Master Directory (http://gcmd.nasa.gov) controlled keywords.
links to CVS files containing vocabularies",,vocabulary,information exchange,AdHoc,Atmosphere,NASA,,,,,,,,,,Keywords - (GCMD) Global Change Master Directory,vocabulary.jpg,vocabulary
Kombu,Ocean Observatory Initiative (OOI),http://ask.github.com/kombu/,"The aim of Kombu is to make messaging in Python as easy as possible by providing an idiomatic high-level interface for the AMQP protocol, and also provide proven and tested solutions to common messaging problems.",cicomponentREview,software library,machine interface,operational,,,, AMQP protocol,,,,,,,,Kombu,software.png,software library
KomFor Data Portal,,http://www.komfor.net/data-portal.html,KOMFOR provides access to data in the earth and environmental sciences with special emphasis on geological disciplines The minimum set of metadata elements in KomFor is determined by the DataCite metadata schema.,,catalog,,,Various,Digital Curation Centre,,,,,,,,,,KomFor Data Portal,icon_catalog.jpg,catalog
KVM,Ocean Observatory Initiative (OOI),http://www.linux-kvm.org/page/Main_Page,KVM (for Kernel-based Virtual Machine) is a full virtualization solution for Linux on x86 hardware containing virtualization extensions (Intel VT or AMD-V).,cicomponentREview,desktop application,virtual machine deployment,operational,,,,,,,,,,,,KVM,package-x-generic.png,desktop application
LAADS Web,Level 1 and Atmosphere Archive and Distribution System (LAADS),http://ladsweb.nascom.nasa.gov/index.html,"web interface to the Level 1 and Atmosphere Archive and Distribution System (LAADS). The mission of LAADS is to provide quick and easy access to MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products.  Search, order, and download MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products. Products may also be subset by parameter, area, or band, mosaiced, reprojected, or masked. Visually browse MODIS Level 1, Atmosphere and Land data products.  Access tools to use with MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products.",cicomponentREview,web site,data access,operational,,Goddard Space flight center  NASA,,,,,,,,,,LAADS Web,globe.jpg,web site
Language Vocabulary,,http://www.rvdata.us/voc/language,IDs and names of various languages.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Language Vocabulary,vocabulary.jpg,vocabulary
LDAP,Server OS *nix,http://tools.ietf.org/html/rfc4510,"The Lightweight Directory Access Protocol (LDAP) is an open, vendor-neutral directory service protocol to provide a mechanism used to connect to, search, and modify Internet directories. The LDAP directory service is based on a client-server model, and runs on a layer above the TCP/IP stack.",cicomponentREview,interface,information exchange,operational,,Fedora,,,,,,,,,,LDAP,globe.jpg,interface
Lexical Markup Framework Ontology version 14,,http://vocab.deri.ie/lmf,Specification of Lexical Markup Framework (ISO 24613 rev 14),,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Lexical Markup Framework Ontology version 14,vocabulary.jpg,vocabulary
LEXINFO Vocabulary,,http://vocab.deri.ie/lexinfo,"LexInfo builds on the lemon model to represent lexical information attached to ontologies on the semantic web. LexInfo has been developed at CITEC, DERI and DFKI and UPM.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,LEXINFO Vocabulary,vocabulary.jpg,vocabulary
libcloud,Ocean Observatory Initiative (OOI),http://incubator.apache.org/libcloud/,libcloud is a python client for the AWS Query API. It is compatible with EC2 and Nimbus.,cicomponentREview,software library,virtual machine deployment,operational,,,,,,,,,,,,libcloud,software.png,software library
libvirt,Ocean Observatory Initiative (OOI),,Libvirt is * A toolkit to interact with the virtualization capabilities of recent versions of Linux (and other OSes). * Free software available under the GNU Lesser General Public License. * A long term stable C API * A set of bindings for common languages * A CIM provider for the DMTF virtualization schema * A QMF agent for the AMQP/QPid messaging system ,cicomponentREview,software library,virtual machine deployment,operational,,,,,,,,,,,,libvirt,software.png,software library
LION,Fixed point Open Ocean Observatory network (FixO3),http://www.fixo3.eu/observatory/lion/,Deep-sea mooring located in the convection cell in the centre of the Gulf of Lion which aims to observe the winter convection affecting the north-western Mediterranean Sea water circulation and deep-sea ecosystem (physical data). The mooring is deployed near the ODAS meteorological surface buoy (Gulf of Lion) and integrated in the MOOSE network. ,,platform,,Operational,Ocean Science,Fixed-point Open Ocean Observatories,,,,,,,,,,LION,globe.jpg,platform
List of agricultural products - NOTHI,,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:12012E/TXT:EN:NOT,"Products listed in Annex I of the Treaty, products falling under CN codes 4502, 4503 and 4504 (cork products), processed agricultural products where the product resulting from the operation remains such a product and products intended to imitate or substitute milk and milk products, excluding those products covered by Council Regulation (EC) 104/2000 of 12 December 1999 on the common organisation of the market in fishery and aquaculture products).",,vocabulary,information exchange,,Agriculture,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,List of agricultural products - NOTHI,vocabulary.jpg,vocabulary
List of Model Variables and Their Definitions,Advanced Regional Prediction System (ARPS),http://www.caps.ou.edu/ARPS/download/code/pub/ARPS.docs/ARPS4DOC.PDF/arpsapxD.pdf,pdf file containing lists of variables and definitions,hli,vocabulary,information exchange,Unknown,ExtremeEvents,,,,,,,,,,,List of Model Variables and Their Definitions,vocabulary.jpg,vocabulary
Live Access Server,World Wide Web (WWW),http://ferret.pmel.noaa.gov/LAS/;  http://ferret.pmel.noaa.gov/LAS/documentation/introduction/,"The Live Access Server (LAS) is a highly configurable web server designed to provide flexible access to geo-referenced scientific data. It can present distributed data sets as a unified virtual data base through the use of DODS networking. Ferret is the default visualization application used by LAS, though other applications (Matlab, IDL, GrADS, ...) can also be used.  LAS is a specialized Web Application framework for displaying and analyzing Earth Science data, but even so it is built using conventional Web application technology.  List of instances: http://ferret.pmel.noaa.gov/LAS/las-servers",cicomponentREview,server application,data access,operational,,"NOAA/OAR/PMEL
Pacific Marine Environmental Laboratory",,OpenDAP,,,,,,"Java, Linux",,Live Access Server,webclient.jpg,server application
Location Type Vocabulary,,http://www.rvdata.us/voc/locationtype,Terms to describe the various locations within and on a vessel.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Location Type Vocabulary,vocabulary.jpg,vocabulary
loggly,Ocean Observatory Initiative (OOI),https://www.loggly.com/,"Loggly helps cloud-centric organizations—organizations that build and manage cloud-facing applications—to solve operational problems faster. Our solution analyzes log data from virtually any application, system, or platform to answer your burning questions:",cicomponentREview,server application,reporting,operational,,Loggly,,,,,,,,,,loggly,webclient.jpg,server application
Long Term Ecological Research (LTER) Data Portal,,https://metacat.lternet.edu/das/lter/index.jsp,"Open access repository to LTER data products.
The largest and longest-lived ecological network in the United States, LTER provides the scientific expertise, research platforms, and long-term datasets necessary to document and analyze environmental change. The Network brings together a multi-disciplinary group of more than 2000 scientists and graduate students. The 26 LTER sites encompass diverse ecosystems in the continental United States, Alaska, Antarctica and islands in the Caribbean and the Pacific -- including deserts, estuaries, lakes, oceans, coral reefs, prairies, forests, alpine and Arctic tundra, urban areas, and production agriculture. The Network's vision is a society in which long-term ecological knowledge contributes to the advancement of the health, productivity, and welfare of the global environment, thereby advancing human well-being. This vision underpins LTER's mission, which is to provide the scientific community, policy makers, and society with the knowledge and predictive understanding necessary to conserve, protect, and manage the nation's ecosystems, their biodiversity, and the services they provide.",,catalog,,Unknown,BiologicalSpeciesEcology,Long Term Ecological Research,,,,,,,,,,Long Term Ecological Research (LTER) Data Portal,icon_catalog.jpg,catalog
LSDI,,http://vocab.deri.ie/lsdi,Vocabulary for concepts within geology such as geological features and sensors.,,vocabulary,information exchange,Unknown,Geology,Digital Enterprise Research Institute,,,,,,,,,,LSDI,vocabulary.jpg,vocabulary
Mappings: NERC Vocabulary Server 2.0 SeaVoX Platforms to IOOS & RDI Host platforms,,http://mmisw.org/orr/#http://mmisw.org/ont/bodc/MapSeaVoxPlatforms2IOOSandRDIPlatforms,"Mapping from SeaVoX Platform Categories to the IOOS Platforms & TRDI Host Platforms.
Maps platforms from the SeaVoX Platform Categories (served by the NERC Vocabulary Server version 2.0 - NVS 2.0) to the IOOS Platforms & TRDI Host Platforms served by the MMI-ORR.",,vocabulary,information exchange,Published Standard,Generic,Natural Environment Research Council,,,,,,,,,,Mappings: NERC Vocabulary Server 2.0 SeaVoX Platforms to IOOS & RDI Host platforms,vocabulary.jpg,vocabulary
MARGINS Data Portal,Marine Geoscience Data System,http://www.marine-geo.org/portals/margins/,"Data from interdisciplinary research along continental margins.
Continental margins are the Earth's principal loci for producing hydrocarbon and metal resources, for earthquake, landslide, volcanic and climatic hazards, and for the greatest population density. Despite the societal and economic importance of margins, many of the mechanical, fluid, chemical and biological processes that shape them are poorly understood. The MARGINS Program, supported by the National Science Foundation, focuses on the coordinated, interdisciplinary investigation of the continental margins through four initiatives: the Seismogenic Zone Experiment (SEIZE), the Subduction Factory (SubFac), Rupturing Continental Lithosphere (RCL), and Sediment Dynamics and Strata Formation: Source to Sink (S2S). Each initiative is associated with focus sites to address the complete range of field, experimental and theoretical studies, over the full range of spatial and temporal scales needed to address fundamental questions associated with each initiative (Source: MGDS)",hli,web site,Data access,,Marine Geology,Integrated Earth Data Applications,,,,,,,,,,MARGINS Data Portal,globe.jpg,web site
Marine Community Profile,,https://marinemetadata.org/references/marineprofile19115,A profile developed in accordance with ISO 19115 rules by the Australian Ocean Data Centre that supports the documentation and discovery of marine spatial datasets.,hli,specification,DCC,Conceptual,Marine Geology,Digital Curation Centre,,,,,,,,,,Marine Community Profile,globe.jpg,specification
MARine Ecosystem DATa (MAREDAT),,http://www.earth-syst-sci-data-discuss.net/special_issue9.html | http://www.pangaea.de/search?&q=maredat,A global gridded data products with coverage of all planktic components of the global ocean ecosystem. Various datasets accessible via Pangaea,,Database,,In progress,Marine Science,Earth System Science Data,,,,,,,,,,MARine Ecosystem DATa (MAREDAT),database.jpg,Database
MARine Ecosystem Model Intercomparison Project (MAREMIP),,http://pft.ees.hokudai.ac.jp/maremip/,"The ""MARine Ecosystem Model Intercomparison Project"" (MAREMIP) aims to foster the development of models based on ""Plankton Functional Types"" (PFTs)s in order to progress towards the resolution of important scientific questions. MAREMIP will also help build a community around marine ecosystem models, promote the interactions between modellers and observationalists and the development of targeted observations, and document the evolution of marine ecosystem models. ",,web site,information source,Community-Defacto,BiologicalSpeciesEcology,MARine Ecosystem Model Intercomparison Project,,,,,,,,,,MARine Ecosystem Model Intercomparison Project (MAREMIP),globe.jpg,web site
Marine Geoscience Data System,,http://www.marine-geo.org/about/overview.php,"The Marine Geoscience Data System (MGDS) provides a suite of tools and services for free public access to marine geoscience research data acquired throughout the global oceans and adjoining continental margins. The system evolved from projects initiated from 2003-2004 with funding from the National Science Foundation to provide data management services for the U.S. Antarctic Program (USAP), the Ridge 2000 and MARGINS programs, and for active source seismic data. In 2005, the system was expanded to include dedicated data management services for global bathymetry data. Since 2010, MGDS has been part of IEDA, an NSF-funded data facility for solid earth geoscience data.",,system,,,Data Systems,,,,,,,,,,,Marine Geoscience Data System,globe.jpg,system
Marine Instrument and Parameter Ontology,,http://mmisw.org/orr/#http://mmisw.org/ont/compass/instruments_v3,"Several classes and properties for data relating to coastal and marine environments.

This marine instrument and paramter ontology has been created as part of the JISC-funded COMPASS project. The COastal Marine Perception Application Profile for Scientific Scholarship project (December 2007 - June 2009) demonstrated how the inclusion of semantic information within discovery services in the form of ontologies enables more intelligent and sophisticated discovery of semantic resources. This was demonstrated in a prototype discovery interface developed for coastal marine researchers and scientists. (Source: MMI)",,vocabulary,information exchange,Community-Defacto,Ocean Science,Coastal Marine Perception Application Profile for Scientific Scholarship,,,,,,,,,,Marine Instrument and Parameter Ontology,vocabulary.jpg,vocabulary
Marine Metadata Interoperability (MMI) Authority Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/authority,List of authorities for the ontologies registered in the MMI Ontology Repository,,Vocabulary,information exchange,Published Standard,Science,Marine Metadata Initative,,,,,,,,,,Marine Metadata Interoperability (MMI) Authority Vocabulary,vocabulary.jpg,Vocabulary
Marine Metadata Interoperability references,Marine Metadata Interoperability Web Site,"http://marinemetadata.org, http://marinemetadata.org/references","The MMI maintains a wide range of metadata references, including guides, protocols and standards, vocabularies and ontologies, and projects.",cicomponentREview,web site,information exchange,operational,,Marine Metadata Interoperability project,,,,,,,,,,Marine Metadata Interoperability references,globe.jpg,web site
Marine Regions,,http://www.vliz.be/vmdcdata/vlimar/,"List of location names for marine places and areas that have been captured in geospatial information.
Marine Regions is a standard list of marine georeferenced place names and areas. It integrates and serves geographic information from the VLIMAR Gazetteer and the MARBOUND database and proposes a standard of marine georeferenced locations, boundaries and regions (Source: Marine Regions)",,vocabulary,information exchange,Unknown,Ocean Science,Flanders Marine Institute,,,,,,,,,,Marine Regions,vocabulary.jpg,vocabulary
Marine Top Level Ontology,,http://mmisw.org/orr/#http://ics.forth.gr/Ontology/MarineTLO/imarine,"MarineTLO is a top-level ontology for the marine domain (also applicable to the terrestrial domain).
",,vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,Marine Top Level Ontology,vocabulary.jpg,vocabulary
MarineOrganism Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/MarineOrganism,Marine Organism vocabulary extracted from the VARS external database,,vocabulary,information exchange,Published Standard,BiologicalSpeciesEcology,Marine Metadata Initative,,,,,,,,,,MarineOrganism Vocabulary,vocabulary.jpg,vocabulary
Marinexplore Data Processing Levels Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mx/datalevel,First version of the Marinexplore data processing levels vocabulary.,,vocabulary,information exchange,Published Standard,Ocean Science,Marinexplore,,,,,,,,,,Marinexplore Data Processing Levels Vocabulary,vocabulary.jpg,vocabulary
Matlab,Ocean Observatory Initiative (OOI),,Software system to perform data analysis and display. ,cicomponentREview,desktop application,data processing,operational,,,,,,,,,,,,Matlab,package-x-generic.png,desktop application
matplotlib,Ocean Observatory Initiative (OOI),"http://matplotlib.sourceforge.net/

http://ipython.org/ipython-doc/stable/interactive/reference.html#plotting-with-matplotlib","Matplotlib provides high quality 2D and 3D plotting for Python. Matplotlib can produce plots on screen using a variety of GUI toolkits, including Tk, PyGTK, PyQt4 and wxPython. It also provides a number of commands useful for scientific computing, all with a syntax compatible with that of the popular Matlab program. ",cicomponentREview,software library,data presentation,operational,,Open Source,,,,,,,,,,matplotlib,software.png,software library
Matter Ontology from SWEET,,http://sweet.jpl.nasa.gov/2.3/matr.owl,Ontology imported from NASA's SWEET ontologies. http://mmisw.org/orr/#http://sweet.jpl.nasa.gov/2.3/matr.owl,,vocabulary,information exchange,Unknown,Generic,NASA,,,,,,,,,,Matter Ontology from SWEET,vocabulary.jpg,vocabulary
MBARI BOG CTD Bottle Data,,http://www.mbari.org/bog/mmug/MMUG_table.htm,"CTD bottle data (up cast), productivity, physical, and chemical data. One record for each CTD rosette bottle. The bottle samples are taken at 11 discrete depths, usually 0, 5, 10, 20, 30, 40, 60, 80, 100, 150, and 200m. Data in these data tables are primarily from Monterey Bay, CA cruises. Also see BOG Projects: http://www.mbari.org/bog/Projects/projects.htm.",,information model,,Published Standard,Ocean Science,Monterey Bay Aquarium Research Institute,,,,,,,,,,MBARI BOG CTD Bottle Data,infomrationModel.jpg,information model
MBARI BOG Profiling CTD,,http://www.mbari.org/bog/mmug/MMUG_table.htm,"Samples from the Profiling CTD (down cast), productivity and physical parameters (sensor data). One record for each meter in depth. Profiling data are averaged into 1 meter depth bins. Data in these data tables are primarily from Monterey Bay, CA cruises. Also see BOG Projects: http://www.mbari.org/bog/Projects/projects.htm.",,information model,,Published Standard,Ocean Science,Monterey Bay Aquarium Research Institute,,,,,,,,,,MBARI BOG Profiling CTD,infomrationModel.jpg,information model
Media Type Vocabulary,,http://www.rvdata.us/voc/mediatype,Vocabulary terms to describe hardware and software data can be transferred on.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Media Type Vocabulary,vocabulary.jpg,vocabulary
MediaBank,Web page listing of earth science image sources,http://media.marine-geo.org/,High-quality images and videos from IEDA's various databases.,hli,Catalog,,,Marine Geology,Integrated Earth Data Applications,,,,,,,,,,MediaBank,icon_catalog.jpg,Catalog
Mediation tier components,GEOSS,OGC AIP-7 Architecture report,,cicomponentREview,component,mediation,,,GEOSS,,server interfaces accessed by Client Tier and client interfaces for client-server interaction with network services,,,,,,,,Mediation tier components,globe.jpg,component
MessagePack,Ocean Observatory Initiative (OOI),http://msgpack.org/,"MessagePack is a binary-based efficient object serialization library. It enables to exchange structured objects between many languages like JSON. But unlike JSON, it is very fast and small.",cicomponentREview,software library,information exchange,,,,,,,,,,,,,MessagePack,software.png,software library
Met Office Hadley Centre,,http://www.metoffice.gov.uk/hadobs/,web site listing of datasets,,catalog,,,Various,Digital Curation Centre,,,,,,,,,,Met Office Hadley Centre,icon_catalog.jpg,catalog
Metadata convention for animal acoustic telemetry data,,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/animal_acoustic_telemetry,"Standard for reporting and transmitting telemetry data collected from animals wearing data reporting equipment.
The purpose of the metadata convention for animal acoustic telemetry data document is to describe the conventions for the attribute fields necessary to describe tag and receiver and detections (Source: MMI)",hli,catalog - metadata,Resource Catalog,Published Standard,Ocean Science,Integrated Ocean Observing System,,,,,,,,,,Metadata convention for animal acoustic telemetry data,icon_catalog.jpg,catalog - metadata
Metadata convention for processed acoustic data from active acoustic systems (v1.0),,http://www.ices.dk/sites/pub/Publication%20Reports/ICES%20Survey%20Protocols%20(SISP)/SISP-3%20A%20metadata%20convention%20for%20processed%20acoustic%20data%20from%20active%20acoustic%20systems.pdf,"Publication on a metadata convention that seeks to standardize active acoustic data.
The purpose of this document is to describe a metadata convention that details the attribute fields necessary to describe processed water column acoustic volume backscatter data (Sv (dB re 1 m2) , Simmonds and Maclennan (2005)) obtained from active acoustic systems. Processed Sv data are generated by applying procedures to the instrument acquired acoustic data that address data quality and calibration and, in many cases, resampled to a lesser resolution than the acquired data. Unless stated otherwise in the metadata, appropriate calibration offsets and time varied gain (TVG) corrections will have been applied. Metadata attribute fields are provided that will allow description of processing procedures specific to the data set. Adhering to this metadata convention will facilitate discovery and exchange of processed acoustic data while ensuring its archivability and longevity (Source: Document)",hli,catalog - metadata,Resource Catalog,Published Standard,Generic,International Council for the Exploration of the Seas,,,,,,,,,,Metadata convention for processed acoustic data from active acoustic systems (v1.0),icon_catalog.jpg,catalog - metadata
Metadata Conventions for IOOS Passive Acoustic Recordings (v1.0),,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/passive_acoustic_metadata,"Keywords and terms for passive acoustic metadata.
This metadata supports the mission of the Integrated Ocean Observing System (IOOS) for acquisition, archiving, and dissemination of ocean passive acoustic data. This host metadata list describes passive acoustic datasets from various platforms and sensors.",,specification,,Published Standard,Ocean Science,Integrated Ocean Observing System,,,,,,,,,,Metadata Conventions for IOOS Passive Acoustic Recordings (v1.0),globe.jpg,specification
Metadata crawler,CINERGI,,a crawler component of information extractors to explore landing pages and determine keywords,cicomponentREview,component,processing,in progress,,CINERGI,,HTTP API,"JSON, XML?",,,,ISO19115,"python, java",,Metadata crawler,globe.jpg,component
Metadata Editor,CINERGI,,"component for pulling records from staging db, editing, and pushing back, generates provenance record as a side effect.",cicomponentREview,,,planned,,,,,,,,,,,,Metadata Editor,globe.jpg,
Metadata harvester,,,,cicomponentREview,server application,,,,Tufts,,,,,,,,"SOLR, Java",,Metadata harvester,webclient.jpg,server application
Metadata presenter,Ocean observatory initiative (OOI),,,cicomponentREview,component,metadata managment,conceptual,,,,,,,,,,planned?,,Metadata presenter,globe.jpg,component
metadata validation ,CINERGI,https://github.com/opengeospatial/ets-19139,"Rule-based validation of metadata in the staging dB federation scheme, produces reports on discovered deficiencies,",cicomponentREview,,,,,"CINERGI, base on TEAM engine",,,,,,,,,,metadata validation ,globe.jpg,
Metafor Common Information Model (CIM) format,,http://en.wikipedia.org/wiki/METAFOR,,,,,Community-Established,,,,,,,,,,,,Metafor Common Information Model (CIM) format,globe.jpg,
METAR Station Reports GeoWS,Unidata,http://thredds.ucar.edu/thredds/ncss/nws/metar/ncdecoded/Metar_Station_Data_fc.cdmr/dataset.html,"Pressure, temperature, cloud cover, dew point, precipitation, snowfa,,, visibility, weather, wind direction, wind speed",IlyaZaslavsky,repository,data access,Beta ,Meteorology,Unidata,,HTTP API,"CSV, XML",,,,,Thredds,,METAR Station Reports GeoWS,database.jpg,repository
MG-RAST Server,,http://press.igsb.anl.gov/mg-rast/,http://camera.calit2.net/  keywords: microbiological,,,,,,,,,,,,,,,,MG-RAST server,globe.jpg,
MGDS GeoWS Service,IEDA,http://www.marine-geo.org/tools/gridserverinfo.php#!/tools/getGMRTGridMetadata,Global Multi-Resolution Topography (GMRT) Synthesis is a gridded compilation of cleaned seafloor bathymetry data from public archives from all the world’s oceans merged with the ASTER data from the continents,IlyaZaslavsky,repository,data access,Beta,Marine Geology,Integrated Earth Data Applications,http://www.marine-geo.org/portals/gmrt/,HTTP API,,,,"NetCDF, ESRI Ascii Grid, GeoTIFF, Coards",,,,MGDS GeoWS Service,database.jpg,repository
Mirador,Goddard Earth Sciences Data and Information Services Center (GES DISC),http://mirador.gsfc.nasa.gov/,"Mirador is an earth science data search tool developed at the GES DISC for our data users. It has a drastically simplified, clean interface and employs the Google mini appliance for metadata keyword searches. Other features include quick response, spatial and parameter subsetting, data file hit estimator, Gazetteer (geographic search by feature name capability), and an interactive shopping cart.",cicomponentREview,web site,data access,operational,,Goddard Earth Sciences Data and Information Services Center NASA,,,,,,,,google mini appliance?,,Mirador,globe.jpg,web site
Mission Oriented Observation Suite (MOOS),Ocean Observatory Initiative (OOI),http://www.robots.ox.ac.uk/~pnewman/TheMOOS/index.html,"MOOS, the Mission Oriented Observation Suite, is an execution platform that is suitable to be embedded in resource limited mobile assets. It provides MOOSDB, a bulletin-board integration and communication system for connected MOOS modules. A wealth of MOOS modules are existing",cicomponentREview,execution environment,execution container,operational,,Oxford/MIT,,,,,,,,,,Mission Oriented Observation Suite (MOOS),globe.jpg,execution environment
"Mission, Instrument, and Measurements (MIM) database",GEOSS,OGC AIP-7 Architecture report,"compilation of space mission, instrument, and measurement information contained in the Committee on Earth Observation Satellites (CEOS) Earth Observation Handbook. The CEOS MIM database is updated annually from formal surveys of CEOS members.",cicomponentREview,database,discovery,,,GEOSS,,,,,,,,,,"Mission, Instrument, and Measurements (MIM) database",database.jpg,database
MISTRALS Database,,http://mistrals.sedoo.fr/ChArMEx/,"Access to databases of different projects.
MISTRALS (Mediterranean Integrated STudies at Regional And Local Scales) is a decennial program for systematic observations and research dedicated to the understanding of the Mediterranean Basin environmental process under the planet global change. It aims to coordinate, across the Mediterranean Basin, interdisciplinary research on atmosphere, hydrosphere, lithosphere and paleo-climate, including environmental ecology and social sciences. The objective is to achieve a better understanding of the mechanisms shaping and influencing landscape, environment and human impact of this eco-region. Thus, its aim is to anticipate the behaviour of this system over a century, from an interdisciplinary analysis conducted over the 2010-2020 decade. The ultimate goal of this program is to predict the evolution of habitable conditions in this large ecosystem, to meet the public policies concerning resources and environment, to anticipate evolution of the societies and to propose policies and adaptative measures that would optimize them.",,database,,AdHoc,Geology,Mediterranean Integrated STudies at Regional And Local Scales,,,,,,,,,,MISTRALS Database,database.jpg,database
MMI Device Ontology of Devices,,https://marinemetadata.org/community/teams/ontdevices,,,vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Device Ontology of Devices,vocabulary.jpg,vocabulary
MMI Device Ontology Terms,,https://marinemetadata.org/community/teams/ontdevices/deviceontterms,Definitions developed in the context of the MMI Device Ontology group. (Preliminary version.),,vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Device Ontology Terms,vocabulary.jpg,vocabulary
MMI Ontology Registry and Repository (ORR),,http://mmisw.org/orr/#b,,,repository,,Published Standard,Generic,Marine Metadata Initative,,,,,,,,,,MMI Ontology Registry and Repository (ORR),database.jpg,repository
MMI Platform Ontology,,http://mmi.svn.sourceforge.net/svnroot/mmi/mmisw/platform.owl,Marine platform types,,vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Platform Ontology,vocabulary.jpg,vocabulary
MMI vocabularies references,,http://marinemetadata.org/conventions/vocabularies,catalog of vocabularies as web page,,catalog,,Unknown,Oceanography,NOAA/NCDC,,,,,,,,,,MMI vocabularies references,icon_catalog.jpg,catalog
Model Access Servers,GEOSS,,"Services to access outputs of predictive models of geospatial information, hosted by a simulation and modeling center.",cicomponentREview,server application,Data access,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Model Access Servers,webclient.jpg,server application
MODIS Reprojection Tool Web Interface (MRTWeb),remote sensing,,reproject MODIS satellite data,cicomponentREview,"USGS, LP DAAC",,,,,,,,,,,,,,MODIS Reprojection Tool Web Interface (MRTWeb),globe.jpg,"USGS, LP DAAC"
MoMAR EMSO Azores,,http://www.fixo3.eu/observatory/momar/ | http://www.ifremer.fr/,"Multidisciplinary (fauna, fluid chemistry, seismicity and ground deformation) situated at the mid-Atlantic (hydrothermal vent field Lucky Strike); near real time communication through acoustic link, buoy and satellite. EMSO observatory node, in operation since 2010, comprises an oceanographic mooring and nested arrays of seismometers, pressure probes, temperature probes and chemical sensors in vent fluids, as well as a camera and colonization devices for faunal and microfaunal studies. Satellite transmission of a data subset, accessible on an EMSO-related server. Yearly maintenance cruises scheduled till 2015. Upgrades of system planned for 2014 with several new connection nodes  accessible to FiXO3 collaborations.",,platform,,Operational,Ocean Science,Fixed-point Open Ocean Observatories,,,,,,,,,,MoMAR EMSO Azores,globe.jpg,platform
MOOS-IvP Helm,Ocean Observatory Initiative (OOI),http://oceanai.mit.edu/moosivp/home.html,"MOOS-IvP (Interval Programming), is a MOOS module that provides a backseat driver navigation control for mobile autonomous vehicles, such as AUVs and also gliders. IvP enables the plug-in of behaviors that are controlled via state and control variables through MOOSDB. An IvP solver determines the actual navigation command. Many behaviors are existing",cicomponentREview,instrument interface,hardware controller,operational,,MIT,,,,,,,,,,MOOS-IvP Helm,globe.jpg,instrument interface
MVCO ADCP QUALITY FLAGS,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/qcflag,QC flags generated by http://mmisw.org/ont/mvco/test or http://mmisw.org/ont/mvco/process qc tests for adcp in situ current and wave data,,vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,MVCO ADCP QUALITY FLAGS,vocabulary.jpg,vocabulary
MVCO Observable Properties,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/observableProperty,These are oceanographic or meteorological parameters that are observed by MVCO sensors,,vocabulary,information exchange,Community-Defacto,Ocean Science,Martha's Vineyard Coastal Observatory,,,,,,,,,,MVCO Observable Properties,vocabulary.jpg,vocabulary
MVCO Waves Property Descriptions,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/properties,Description of properties output by the MVCO ADCP Waves system,,vocabulary,information exchange,Community-Defacto,Ocean Science,Martha's Vineyard Coastal Observatory,,,,,,,,,,MVCO Waves Property Descriptions,vocabulary.jpg,vocabulary
