Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
Marine Metadata Interoperability references,Marine Metadata Interoperability Web Site,"http://marinemetadata.org, http://marinemetadata.org/references","The MMI maintains a wide range of metadata references, including guides, protocols and standards, vocabularies and ontologies, and projects.",Original CIComponent Compilation,Web site,information exchange,Operational,,Marine Metadata Interoperability project,,,,,,,,,,Marine Metadata Interoperability references,globe.jpg,"http://marinemetadata.org, http://marinemetadata.org/references"
Marine Regions,,http://www.vliz.be/vmdcdata/vlimar/,"List of location names for marine places and areas that have been captured in geospatial information. Marine Regions is a standard list of marine georeferenced place names and areas. It integrates and serves geographic information from the VLIMAR Gazetteer and the MARBOUND database and proposes a standard of marine georeferenced locations, boundaries and regions (Source: Marine Regions)",NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Flanders Marine Institute,,,,,,,,,,Marine Regions,vocabulary.jpg,http://www.vliz.be/vmdcdata/vlimar/
Marine Top Level Ontology,,http://mmisw.org/orr/#http://ics.forth.gr/Ontology/MarineTLO/imarine,MarineTLO is a top-level ontology for the marine domain (also applicable to the terrestrial domain).,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,Marine Top Level Ontology,vocabulary.jpg,http://mmisw.org/orr/#http://ics.forth.gr/Ontology/MarineTLO/imarine
MarineOrganism Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/MarineOrganism,Marine Organism vocabulary extracted from the VARS external database,NotDocumented,Vocabulary,information exchange,Published Standard,BiologicalSpeciesEcology,Marine Metadata Initative,,,,,,,,,,MarineOrganism Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/MarineOrganism
Marinexplore Data Processing Levels Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mx/datalevel,First version of the Marinexplore data processing levels vocabulary.,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Marinexplore,,,,,,,,,,Marinexplore Data Processing Levels Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mx/datalevel
Matlab,Ocean Observatory Initiative (OOI),http://www.mathworks.com/products/matlab/index-b.html,Software system to perform data analysis and display.,Original CIComponent Compilation,Desktop application,data processing,Operational,,,,,,,,,,,,Matlab,package-x-generic.png,
matplotlib,Ocean Observatory Initiative (OOI),"http://matplotlib.sourceforge.net/

http://ipython.org/ipython-doc/stable/interactive/reference.html#plotting-with-matplotlib","Matplotlib provides high quality 2D and 3D plotting for Python. Matplotlib can produce plots on screen using a variety of GUI toolkits, including Tk, PyGTK, PyQt4 and wxPython. It also provides a number of commands useful for scientific computing, all with a syntax compatible with that of the popular Matlab program.",Original CIComponent Compilation,Software library,data presentation,Operational,,Open Source,,,,,,,,,,matplotlib,software.png,"http://matplotlib.sourceforge.net/

http://ipython.org/ipython-doc/stable/interactive/reference.html#plotting-with-matplotlib"
Matter Ontology from SWEET,,http://sweet.jpl.nasa.gov/2.3/matr.owl,Ontology imported from NASA's SWEET ontologies. http://mmisw.org/orr/#http://sweet.jpl.nasa.gov/2.3/matr.owl,NotDocumented,Vocabulary,information exchange,Unknown,Generic,NASA,,,,,,,,,,Matter Ontology from SWEET,vocabulary.jpg,http://sweet.jpl.nasa.gov/2.3/matr.owl
MBARI BOG CTD Bottle Data,,http://www.mbari.org/bog/mmug/MMUG_table.htm,"CTD bottle data (up cast), productivity, physical, and chemical data. One record for each CTD rosette bottle. The bottle samples are taken at 11 discrete depths, usually 0, 5, 10, 20, 30, 40, 60, 80, 100, 150, and 200m. Data in these data tables are primarily from Monterey Bay, CA cruises. Also see BOG Projects: http://www.mbari.org/bog/Projects/projects.htm.",NotDocumented,Information Model,,Published Standard,Ocean Science,Monterey Bay Aquarium Research Institute,,,,,,,,,,MBARI BOG CTD Bottle Data,informationModel.jpg,http://www.mbari.org/bog/mmug/MMUG_table.htm
MBARI BOG Profiling CTD,,http://www.mbari.org/bog/mmug/MMUG_table.htm,"Samples from the Profiling CTD (down cast), productivity and physical parameters (sensor data). One record for each meter in depth. Profiling data are averaged into 1 meter depth bins. Data in these data tables are primarily from Monterey Bay, CA cruises. Also see BOG Projects: http://www.mbari.org/bog/Projects/projects.htm.",NotDocumented,Information Model,,Published Standard,Ocean Science,Monterey Bay Aquarium Research Institute,,,,,,,,,,MBARI BOG Profiling CTD,informationModel.jpg,http://www.mbari.org/bog/mmug/MMUG_table.htm
Media Type Vocabulary,,http://www.rvdata.us/voc/mediatype,Vocabulary terms to describe hardware and software data can be transferred on.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Media Type Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/mediatype
MediaBank,Web page listing of earth science image sources,http://media.marine-geo.org/,High-quality images and videos from IEDA's various databases.,High level inventory Pivot Viewer,Catalog,,,Marine Geology,Integrated Earth Data Applications,,,,,,,,,,MediaBank,icon_catalog.jpg,http://media.marine-geo.org/
Mediation tier components,GEOSS,,server interfaces accessed by Client Tier and client interfaces for client-server interaction with network services,Original CIComponent Compilation,Component,mediation,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Mediation tier components,globe.jpg,OGC AIP-7 Architecture report
MessagePack,Ocean Observatory Initiative (OOI),http://msgpack.org/,"MessagePack is a binary-based efficient object serialization library. It enables to exchange structured objects between many languages like JSON. But unlike JSON, it is very fast and small.",Original CIComponent Compilation,Software library,information exchange,,,,,,,,,,,,,MessagePack,software.png,http://msgpack.org/
Met Office Hadley Centre,,http://www.metoffice.gov.uk/hadobs/,web site listing of datasets,NotDocumented,Catalog,,,Various,Digital Curation Centre,,,,,,,,,,Met Office Hadley Centre,icon_catalog.jpg,http://www.metoffice.gov.uk/hadobs/
Metadata convention for animal acoustic telemetry data,,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/animal_acoustic_telemetry,Standard for reporting and transmitting telemetry data collected from animals wearing data reporting equipment. The purpose of the metadata convention for animal acoustic telemetry data document is to describe the conventions for the attribute fields necessary to describe tag and receiver and detections (Source: MMI),High level inventory Pivot Viewer,Specification,Resource Catalog,Published Standard,Ocean Science,Integrated Ocean Observing System,,,,,,,,,,Metadata convention for animal acoustic telemetry data,icon_catalog.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/animal_acoustic_telemetry
Metadata convention for processed acoustic data from active acoustic systems (v1.0),,http://www.ices.dk/sites/pub/Publication%20Reports/ICES%20Survey%20Protocols%20(SISP)/SISP-3%20A%20metadata%20convention%20for%20processed%20acoustic%20data%20from%20active%20acoustic%20systems.pdf,"Publication on a metadata convention that seeks to standardize active acoustic data. The purpose of this document is to describe a metadata convention that details the attribute fields necessary to describe processed water column acoustic volume backscatter data (Sv (dB re 1 m2) , Simmonds and Maclennan (2005)) obtained from active acoustic systems. Processed Sv data are generated by applying procedures to the instrument acquired acoustic data that address data quality and calibration and, in many cases, resampled to a lesser resolution than the acquired data. Unless stated otherwise in the metadata, appropriate calibration offsets and time varied gain (TVG) corrections will have been applied. Metadata attribute fields are provided that will allow description of processing procedures specific to the data set. Adhering to this metadata convention will facilitate discovery and exchange of processed acoustic data while ensuring its archivability and longevity (Source: Document)",High level inventory Pivot Viewer,Specification,Resource Catalog,Published Standard,Generic,International Council for the Exploration of the Seas,,,,,,,,,,Metadata convention for processed acoustic data from active acoustic systems (v1.0),icon_catalog.jpg,http://www.ices.dk/sites/pub/Publication%20Reports/ICES%20Survey%20Protocols%20(SISP)/SISP-3%20A%20metadata%20convention%20for%20processed%20acoustic%20data%20from%20active%20acoustic%20systems.pdf
Metadata Conventions for IOOS Passive Acoustic Recordings (v1.0),,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/passive_acoustic_metadata,"Keywords and terms for passive acoustic metadata. This metadata supports the mission of the Integrated Ocean Observing System (IOOS) for acquisition, archiving, and dissemination of ocean passive acoustic data. This host metadata list describes passive acoustic datasets from various platforms and sensors.",NotDocumented,Specification,,Published Standard,Ocean Science,Integrated Ocean Observing System,,,,,,,,,,Metadata Conventions for IOOS Passive Acoustic Recordings (v1.0),globe.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/passive_acoustic_metadata
Metadata crawler,CINERGI,,a crawler component of information extractors to explore landing pages and determine keywords,Original CIComponent Compilation,Component,processing,In progress,,CINERGI,,HTTP API,"JSON, XML?",,,,ISO19115,"python, java",,Metadata crawler,globe.jpg,
Metadata Editor,CINERGI,,"component for pulling records from staging db, editing, and pushing back, generates provenance record as a side effect.",Original CIComponent Compilation,Application,,Planned,,,,,,,,,,,,Metadata Editor,globe.jpg,
Metadata harvester,,,,Original CIComponent Compilation,Server application,,,,Tufts,,,,,,,,"SOLR, Java",,Metadata harvester,webclient.jpg,
Metadata presenter,Ocean observatory initiative (OOI),,,Original CIComponent Compilation,Component,metadata managment,Conceptual,,,,,,,,,,planned?,,Metadata presenter,globe.jpg,
metadata validation,CINERGI,https://github.com/opengeospatial/ets-19139,"Rule-based validation of metadata in the staging dB federation scheme, produces reports on discovered deficiencies,",Original CIComponent Compilation,Component,,,,"CINERGI, base on TEAM engine",,,,,,,,,,metadata validation ,globe.jpg,https://github.com/opengeospatial/ets-19139
Metafor Common Information Model (CIM) format,,https://earthsystemcog.org/projects/es-doc-models/cim,"The Common Information Model (CIM) is a metadata standard used by the climate research community and others to describe the artifacts and processes they work with.  This includes climate simulations, the specific model components used to run those simulations, the datasets generated by those components, the geographic grids upon which those components and data are mapped, the computing platforms used, and so on.",NotDocumented,Specification,,Community-Established,,,,,,,,,,,,Metafor Common Information Model (CIM) format,globe.jpg,http://en.wikipedia.org/wiki/METAFOR
METAR Station Reports GeoWS,Unidata,http://thredds.ucar.edu/thredds/ncss/nws/metar/ncdecoded/Metar_Station_Data_fc.cdmr/dataset.html,"Pressure, temperature, cloud cover, dew point, precipitation, snowfa,,, visibility, weather, wind direction, wind speed",IlyaZaslavsky,API,Data access,Beta,Meteorology,Unidata,,HTTP API,"CSV, XML",,,,,Thredds,,METAR Station Reports GeoWS,database.jpg,http://thredds.ucar.edu/thredds/ncss/nws/metar/ncdecoded/Metar_Station_Data_fc.cdmr/dataset.html
MG-RAST Server,,http://press.igsb.anl.gov/mg-rast/,http://camera.calit2.net/ keywords: microbiological,NotDocumented,Data Access,,,,,,,,,,,,,,MG-RAST server,globe.jpg,http://press.igsb.anl.gov/mg-rast/
MGDS GeoWS Service,IEDA,http://www.marine-geo.org/tools/gridserverinfo.php#!/tools/getGMRTGridMetadata,Global Multi-Resolution Topography (GMRT) Synthesis is a gridded compilation of cleaned seafloor bathymetry data from public archives from all the worldâ€™s oceans merged with the ASTER data from the continents,IlyaZaslavsky,API,Data access,Beta,Marine Geology,Integrated Earth Data Applications,http://www.marine-geo.org/portals/gmrt/,HTTP API,,,,"NetCDF, ESRI Ascii Grid, GeoTIFF, Coards",,,,MGDS GeoWS Service,database.jpg,http://www.marine-geo.org/tools/gridserverinfo.php#!/tools/getGMRTGridMetadata
Mirador,Goddard Earth Sciences Data and Information Services Center (GES DISC),http://mirador.gsfc.nasa.gov/,"Mirador is an earth science data search tool developed at the GES DISC for our data users. It has a drastically simplified, clean interface and employs the Google mini appliance for metadata keyword searches. Other features include quick response, spatial and parameter subsetting, data file hit estimator, Gazetteer (geographic search by feature name capability), and an interactive shopping cart.",Original CIComponent Compilation,Web site,Data access,Operational,,Goddard Earth Sciences Data and Information Services Center NASA,,,,,,,,google mini appliance?,,Mirador,globe.jpg,http://mirador.gsfc.nasa.gov/
Mission Oriented Observation Suite (MOOS),Ocean Observatory Initiative (OOI),http://www.robots.ox.ac.uk/~pnewman/TheMOOS/index.html,"MOOS, the Mission Oriented Observation Suite, is an execution platform that is suitable to be embedded in resource limited mobile assets. It provides MOOSDB, a bulletin-board integration and communication system for connected MOOS modules. A wealth of MOOS modules are existing",Original CIComponent Compilation,Execution environment,execution container,Operational,,Oxford/MIT,,,,,,,,,,Mission Oriented Observation Suite (MOOS),globe.jpg,http://www.robots.ox.ac.uk/~pnewman/TheMOOS/index.html
"Mission, Instrument, and Measurements (MIM) database",GEOSS,,"compilation of space mission, instrument, and measurement information contained in the Committee on Earth Observation Satellites (CEOS) Earth Observation Handbook. The CEOS MIM database is updated annually from formal surveys of CEOS members.",Original CIComponent Compilation,Database,Discovery,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,"Mission, Instrument, and Measurements (MIM) database",database.jpg,OGC AIP-7 Architecture report
MISTRALS Database,,http://mistrals.sedoo.fr/ChArMEx/,"Access to databases of different projects. MISTRALS (Mediterranean Integrated STudies at Regional And Local Scales) is a decennial program for systematic observations and research dedicated to the understanding of the Mediterranean Basin environmental process under the planet global change. It aims to coordinate, across the Mediterranean Basin, interdisciplinary research on atmosphere, hydrosphere, lithosphere and paleo-climate, including environmental ecology and social sciences. The objective is to achieve a better understanding of the mechanisms shaping and influencing landscape, environment and human impact of this eco-region. Thus, its aim is to anticipate the behaviour of this system over a century, from an interdisciplinary analysis conducted over the 2010-2020 decade. The ultimate goal of this program is to predict the evolution of habitable conditions in this large ecosystem, to meet the public policies concerning resources and environment, to anticipate evolution of the societies and to propose policies and adaptative measures that would optimize them.",NotDocumented,Database,,AdHoc,Geology,Mediterranean Integrated STudies at Regional And Local Scales,,,,,,,,,,MISTRALS Database,database.jpg,http://mistrals.sedoo.fr/ChArMEx/
MMI Device Ontology of Devices,,https://marinemetadata.org/community/teams/ontdevices,,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Device Ontology of Devices,vocabulary.jpg,https://marinemetadata.org/community/teams/ontdevices
MMI Device Ontology Terms,,https://marinemetadata.org/community/teams/ontdevices/deviceontterms,Definitions developed in the context of the MMI Device Ontology group. (Preliminary version.),NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Device Ontology Terms,vocabulary.jpg,https://marinemetadata.org/community/teams/ontdevices/deviceontterms
MMI Ontology Registry and Repository (ORR),,http://mmisw.org/orr/#b,"The ORR lets any user in the marine or related science communities register ontologies, for the open use of other members of the community. (https://marinemetadata.org/orr)",NotDocumented,Repository,,Published Standard,Generic,Marine Metadata Initative,,,,,,,,,,MMI Ontology Registry and Repository (ORR),database.jpg,http://mmisw.org/orr/#b
MMI Platform Ontology,,http://mmi.svn.sourceforge.net/svnroot/mmi/mmisw/platform.owl,Marine platform types,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Marine Metadata Initative,,,,,,,,,,MMI Platform Ontology,vocabulary.jpg,http://mmi.svn.sourceforge.net/svnroot/mmi/mmisw/platform.owl
MMI vocabularies references,,http://marinemetadata.org/conventions/vocabularies,catalog of vocabularies as web page,NotDocumented,Catalog,,Unknown,Oceanography,NOAA/NCDC,,,,,,,,,,MMI vocabularies references,icon_catalog.jpg,http://marinemetadata.org/conventions/vocabularies
Model Access Servers,GEOSS,,"Services to access outputs of predictive models of geospatial information, hosted by a simulation and modeling center.",Original CIComponent Compilation,Server application,Data access,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Model Access Servers,webclient.jpg,
MODIS Reprojection Tool Web Interface (MRTWeb),remote sensing,https://mrtweb.cr.usgs.gov/,reproject MODIS satellite data,Original CIComponent Compilation,Application,,,,,,,,,,,,,,MODIS Reprojection Tool Web Interface (MRTWeb),globe.jpg,
MoMAR EMSO Azores,,http://www.fixo3.eu/observatory/momar/ | http://www.ifremer.fr/,"Multidisciplinary (fauna, fluid chemistry, seismicity and ground deformation) situated at the mid-Atlantic (hydrothermal vent field Lucky Strike); near real time communication through acoustic link, buoy and satellite. EMSO observatory node, in operation since 2010, comprises an oceanographic mooring and nested arrays of seismometers, pressure probes, temperature probes and chemical sensors in vent fluids, as well as a camera and colonization devices for faunal and microfaunal studies. Satellite transmission of a data subset, accessible on an EMSO-related server. Yearly maintenance cruises scheduled till 2015. Upgrades of system planned for 2014 with several new connection nodes accessible to FiXO3 collaborations.",NotDocumented,Platform,,Operational,Ocean Science,Fixed-point Open Ocean Observatories,,,,,,,,,,MoMAR EMSO Azores,globe.jpg,http://www.fixo3.eu/observatory/momar/ | http://www.ifremer.fr/
MOOS-IvP Helm,Ocean Observatory Initiative (OOI),http://oceanai.mit.edu/moosivp/home.html,"MOOS-IvP (Interval Programming), is a MOOS module that provides a backseat driver navigation control for mobile autonomous vehicles, such as AUVs and also gliders. IvP enables the plug-in of behaviors that are controlled via state and control variables through MOOSDB. An IvP solver determines the actual navigation command. Many behaviors are existing",Original CIComponent Compilation,Instrument interface,hardware controller,Operational,,MIT,,,,,,,,,,MOOS-IvP Helm,globe.jpg,http://oceanai.mit.edu/moosivp/home.html
MVCO ADCP QUALITY FLAGS,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/qcflag,QC flags generated by http://mmisw.org/ont/mvco/test or http://mmisw.org/ont/mvco/process qc tests for adcp in situ current and wave data,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,MVCO ADCP QUALITY FLAGS,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/qcflag
MVCO Observable Properties,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/observableProperty,These are oceanographic or meteorological parameters that are observed by MVCO sensors,NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,Martha's Vineyard Coastal Observatory,,,,,,,,,,MVCO Observable Properties,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/observableProperty
MVCO Waves Property Descriptions,,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/properties,Description of properties output by the MVCO ADCP Waves system,NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,Martha's Vineyard Coastal Observatory,,,,,,,,,,MVCO Waves Property Descriptions,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mvco/properties
NASA Reverb/ECHO,,http://reverb.echo.nasa.gov/reverb/,"Search NASA EOSDIS data. The EOS ClearingHouse (ECHO) is a metadata catalog of NASAâ€™s Earth Observing System (EOS) data and a registry for related data services provided by the NASA ESDIS Project, Code 423, GSFC. Users can access the data and services by using general or community-tailored clients that access ECHO's data and service holdings. Working closely with this community, the ECHO team identified a need to develop the next generation EOS data and service discovery tool to replace the existing WIST, the Warehouse Inventory Search Tool. After a year long design, development, and testing process, the ECHO team is proud to announce the successful Operational release of ""Reverb â€“ The Next Generation Earth Science Discovery Tool."" Reverb provides a new means for discovering, accessing, and invoking EOS data products and services. We invite you to check out Reverb, which can be accessed at the link below. Your feedback is welcome to help the ECHO team continually meet and exceed your data and service discovery needs (Source: LP DAAC)",NotDocumented,Catalog,,Community-Established,Earth Science,NOAA/NCDC,,,,,,,,,,NASA Reverb/ECHO,icon_catalog.jpg,http://reverb.echo.nasa.gov/reverb/
National Biodiversity Network Gateway,,https://data.nbn.org.uk/,"Access to biology and biodiversity datasets. The NBN Gateway quite simply acts as a ""data warehouse"" for biodiversity information, which can be quickly and easily accessed to understand the distribution of particular species in the UK. Individual records, covering plants, mammals, birds and invertebrates, are stored on the NBN Gateway and these can then be displayed on a map of the UK in a number of different ways.",NotDocumented,Catalog,,Community-Established,BiologicalSpeciesEcology,National Biodiversity Network,,,,,,,,,,National Biodiversity Network Gateway,icon_catalog.jpg,https://data.nbn.org.uk/
National Center for Earth Surface Dynamics (NCED) Data Repository,,https://repository.nced.umn.edu/,"Repository contains all data created or compiled by NCED-funded scientists. Search by author, keyword or location. Note: NCED is now archived and NCED2 carries on its research. The data repository and the link listed in this record remain active and connected to NCED2. NCED is a National Science Foundation Science and Technology Center. It was developed to build our scientific understanding, and therefore our predictive ability, of the near-surface Earth environment. (Source: NCED)",NotDocumented,Repository,,Unknown,Geology,National Center for Earth-Surface Dynamics,,,,,,,,,,National Center for Earth Surface Dynamics (NCED) Data Repository,database.jpg,https://repository.nced.umn.edu/
National Geoscience Data Centre,British Geological survey,http://www.bgs.ac.uk/services/ngdc/,"Geoscience data center of the British Geological Survey. Use the collections and information at the National Geoscience Data Centre (NGDC) to find out more about the subsurface of Great Britain; for academic or commercial purposes. Part of the BGS, this national collection is used to support the Survey's science programmes and is the NERC-designated data centre for the Earth sciences. The NGDC comprises data gathered or generated by the BGS or its precursors, as part of its national strategic mapping programme, in addition to data provided by external organisations.",High level inventory Pivot Viewer,Repository,,,Geology,,,,,,,,,,,National Geoscience Data Centre,database.jpg,http://www.bgs.ac.uk/services/ngdc/
National River Flow Archive (NRFA),,http://www.ceh.ac.uk/data/nrfa/,"Hydrology data for the UK area. Includes peak flow data, data from the National Hydrological Monitoring Programme, and other general data. The National River Flow Archive (NRFA) is the UK's focal point for river flow data. The NRFA collates, quality controls, and archives hydrometric data from gauging station networks across the UK including the extensive networks operated by the Environment Agency (England), Natural Resources Wales, the Scottish Environment Protection Agency and the Rivers Agency (Northern Ireland).",NotDocumented,Repository,,Community-Established,Hydrology,Centre for Ecology and Hydrology,,,,,,,,,,National River Flow Archive (NRFA),database.jpg,http://www.ceh.ac.uk/data/nrfa/
National Science Digital Library Data Repository,,http://nsdl.org/contribute/metadata-guide,"An online portal for education and research on learning in Science, Technology, Engineering, and Mathematics, using a profile of the Dublin Core Metadata Elements for resource and collections metadata.",NotDocumented,Repository,,,Data Systems,Digital Curation Centre,,,,,,,,,,National Science Digital Library Data Repository,database.jpg,http://nsdl.org/contribute/metadata-guide
Natural Collections Descriptions (NCD): A data standard for exchanging data describing natural history collections,,http://www.tdwg.org/standards/312/,"Natural Collections Description (NCD) is a proposed data standard for describing collections of natural history materials at the collection level; one NCD record describes one entire collection. Collection descriptions are electronic records that document the holdings of an organisation as groups of items, which complement the more traditional item-level records such as are produced for a single specimen or a library book. NCD is tailored to natural history. It lies between general resource discovery standards such as Dublin Core (DC) and rich collection description standards such as the Encoded Archival Description (EAD). The NCD standard covers all types of natural history collections, such as specimens, original artwork, archives, observations, library materials, datasets, photographs or mixed collections such as those that result from expeditions and voyages of discovery.",High level inventory Pivot Viewer,Specification,TDWG,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Natural Collections Descriptions (NCD): A data standard for exchanging data describing natural history collections,globe.jpg,http://www.tdwg.org/standards/312/
"Natural Diversity Data Base (NDDB) Maps, Connecticut",,http://www.ct.gov/deep/cwp/view.asp?a=2702&q=323464&deepNav_GID=1628,"The Natural Diversity Data Base maps represent approximate locations of endangered, threatened and special concern species and significant natural communities in Connecticut. The locations of species and natural communities depicted on the maps are based on data collected over the years by DEEP staff, scientists, conservation groups, and landowners. In some cases an occurrence represents a location derived from literature, museum records and specimens. These data are compiled and maintained by the Natural Diversity Data Base. keywords: biodiversity",LeslieHsu,Data Access,data service,Operational,BiologicalSpeciesEcology,,,,,,,,,,,,,http://www.ct.gov/deep/cwp/view.asp?a=2702&q=323464&deepNav_GID=1628
"Natural Diversity Data Base Areas, Connecticut",,http://cteco.uconn.edu/guides/Natural_Diversity_Database.htm,"Natural Diversity Data Base Areas represent known locations, both historic and extant, of state listed species and significant natural communities. State listed species are those listed as Endangered, Threatened or Special Concern under the Connecticut Endangered Species Act (Connecticut General Statutes, Section 26-303). Some examples of significant natural communities in Connecticut include Acidic Atlantic White Cedar Swamps, Sand Barrens and Poor fens. This dataset represents over 100 years worth of field observations, scientific collections, and publications. The data have been compiled from a variety of sources and in most cases do not represent a comprehensive or state-wide survey. Sources include state biologists, university students and professors, conservation organizations and private landowners. keywords: biodiversity",LeslieHsu,Data Access,data service,Operational,BiologicalSpeciesEcology,,,,,,,,,,,,,http://cteco.uconn.edu/guides/Natural_Diversity_Database.htm
NCAR command language,NCAR,http://www.ncl.ucar.edu/,python based tools for data and processing,Original CIComponent Compilation,Software library,,,,,,,,,,,,,,NCAR command language,globe.jpg,
NCAR Community Data Portal,NCAR,http://cdp.ucar.edu/,"The Community Data Portal (CDP) is a collection of earth science datasets from NCAR, UCAR, UOP, and participating organizations.",Original CIComponent Compilation,Catalog,,,,,,,,,,,,,,NCAR Community Data Portal,globe.jpg,
NCDC - National Climatic Data Center,,http://www.ncdc.noaa.gov/oa/metadata/metadataresources.html,"The world's largest climate data archive, providing climatological services and data worldwide. It currently promotes the FGDC/CSDGM metadata standard for its datasets.",NotDocumented,Repository,,,Climate,Digital Curation Centre,,,,,,,,,,NCDC - National Climatic Data Center,database.jpg,http://www.ncdc.noaa.gov/oa/metadata/metadataresources.html
NCEP GFS Weather Forecast GeoWS,Unidata,http://thredds-dev.ucar.edu/thredds/ncss/grib/NCEP/GFS/Global_0p5deg/Best/pointDataset.html,NCEP GFS Global Weather Forecast (0.5 degree grid) point data selection,IlyaZaslavsky,API,Data access,Beta,Meteorology,Unidata,,HTTP API,"CSV, XML",,,"CSV, XML, WaterML 2.0, CF/NetCDF 3",,Thredds,,NCEP GFS Weather Forecast GeoWS,database.jpg,http://thredds-dev.ucar.edu/thredds/ncss/grib/NCEP/GFS/Global_0p5deg/Best/pointDataset.html
ncISO,,https://geo-ide.noaa.gov/wiki/index.php?title=NcISO,"ncISO is a package of tools that facilitates the generation of ISO 19115-2 metadata from NetCDF data sources stored in a THREDDS data server (TDS) catalog. There are currently two tools available, first a command line utility that can be run on your local desktop or workstation, and second a THREDDS server extension library. See this and other data pages on the NGDC THREDDS Server for examples of the ncISO extension to THREDDS.",High level inventory Pivot Viewer,Component,metadata managment,,Data Systems,NOAA,,,,,,,,,,ncISO,globe.jpg,https://geo-ide.noaa.gov/wiki/index.php?title=NcISO
NCtoolbox,,http://code.google.com/p/nctoolbox/,nctoolbox is a Matlab toolbox that provides read-only access to common data model datasets,Original CIComponent Compilation,Software library,data processing,Operational,,,,,,,,,,,,NCtoolbox,globe.jpg,http://code.google.com/p/nctoolbox/
NDBC Hard QA/QC Flags,,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf,"Hard QA/QC flags used in National Data Buoy Center, from NDBC, 2003: NDBC Technical Document 03-02, Handbook of Automated Data Quality Control Checks and Procedures of the National Data Buoy Center",NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,National Data Buoy Center,,,,,,,,,,NDBC Hard QA/QC Flags,vocabulary.jpg,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf
NDBC Soft QA/QC Flags,,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf,"Soft QA/QC flags used in National Data Buoy Center, from NDBC, 2003: NDBC Technical Document 03-02, Handbook of Automated Data Quality Control Checks and Procedures of the National Data Buoy Center",NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,National Data Buoy Center,,,,,,,,,,NDBC Soft QA/QC Flags,vocabulary.jpg,http://www.ndbc.noaa.gov/NDBCHandbookofAutomatedDataQualityControl2009.pdf
NDFD NOAA Digital Weather Markup Language,,http://schemas.liquid-technologies.com/DWML/0/,"Providing the public, government agencies, and commercial enterprises with data from the National Weather Serviceâ€™s (NWS) digital forecast database. This service, which is defined in a Service Description Document, provides NWS customers and partners the ability to request National Digital Forecast Databas (NDFD) data over the internet and receive the information back in an XML format. The NDFD XML language is called Digital Weather Markup Language (DWML).",NotDocumented,Interchange Format,,Community-Defacto,Meteorology,NOAA,,,,,,,,,,NDFD NOAA Digital Weather Markup Language,globe.jpg,http://schemas.liquid-technologies.com/DWML/0/
